Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0.0,PG,25.0,187.48,81.81818181818181,Texas,7730337.0
Jae Crowder,Boston Celtics,99.0,SF,25.0,197.64,106.81818181818181,Marquette,6796117.0
John Holland,Boston Celtics,30.0,SG,27.0,195.09999999999997,93.18181818181817,Boston University,
R.J. Hunter,Boston Celtics,28.0,SG,22.0,195.09999999999997,84.09090909090908,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,207.79999999999998,104.99999999999999,,5000000.0
Amir Johnson,Boston Celtics,90.0,PF,29.0,205.26,109.09090909090908,,12000000.0
Jordan Mickey,Boston Celtics,55.0,PF,21.0,202.71999999999997,106.81818181818181,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41.0,C,25.0,212.79999999999998,108.18181818181817,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12.0,PG,22.0,187.48,86.36363636363636,Louisville,1824360.0
Marcus Smart,Boston Celtics,36.0,PG,22.0,192.55999999999997,99.99999999999999,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7.0,C,24.0,205.26,118.18181818181817,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,174.86,84.09090909090908,Washington,6912869.0
Evan Turner,Boston Celtics,11.0,SG,27.0,200.17999999999998,99.99999999999999,Ohio State,3425510.0
James Young,Boston Celtics,13.0,SG,20.0,197.64,97.72727272727272,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44.0,C,26.0,212.79999999999998,114.99999999999999,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,202.71999999999997,98.18181818181817,,3425510.0
Markel Brown,Brooklyn Nets,22.0,SG,24.0,190.01999999999998,86.36363636363636,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,192.55999999999997,90.9090909090909,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,200.17999999999998,99.99999999999999,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,190.01999999999998,90.9090909090909,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,200.17999999999998,94.54545454545453,,1599840.0
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,192.55999999999997,99.54545454545453,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,179.94,79.54545454545453,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11.0,C,28.0,212.79999999999998,124.99999999999999,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,210.33999999999997,90.9090909090909,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33.0,PF,26.0,207.79999999999998,99.99999999999999,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,207.79999999999998,107.72727272727272,Kansas,981348.0
Henry Sims,Brooklyn Nets,14.0,C,26.0,207.79999999999998,112.72727272727272,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,190.01999999999998,93.18181818181817,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,202.71999999999997,100.45454545454545,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4.0,SG,30.0,195.09999999999997,95.45454545454545,UCLA,8000000.0
Lou Amundson,New York Knicks,17.0,PF,33.0,205.26,99.99999999999999,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,200.17999999999998,93.18181818181817,,30888.0
Carmelo Anthony,New York Knicks,7.0,SF,32.0,202.71999999999997,109.09090909090908,Syracuse,22875000.0
Jose Calderon,New York Knicks,3.0,PG,34.0,190.01999999999998,90.9090909090909,,7402812.0
Cleanthony Early,New York Knicks,11.0,SF,25.0,202.71999999999997,95.45454545454545,Wichita State,845059.0
Langston Galloway,New York Knicks,2.0,SG,24.0,187.48,90.9090909090909,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13.0,PG,23.0,192.55999999999997,88.63636363636363,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8.0,C,28.0,212.79999999999998,115.9090909090909,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,207.79999999999998,113.63636363636363,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,220.42,109.09090909090908,,4131720.0
Kevin Seraphin,New York Knicks,1.0,C,26.0,207.79999999999998,126.36363636363636,,2814000.0
Lance Thomas,New York Knicks,42.0,SF,28.0,202.71999999999997,106.81818181818181,Duke,1636842.0
Sasha Vujacic,New York Knicks,18.0,SG,32.0,200.17999999999998,88.63636363636363,,947276.0
Derrick Williams,New York Knicks,23.0,PF,25.0,202.71999999999997,109.09090909090908,Arizona,4000000.0
Tony Wroten,New York Knicks,5.0,SG,23.0,197.64,93.18181818181817,Washington,167406.0
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,205.26,115.45454545454544,Duke,
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,182.39999999999998,91.36363636363636,Murray State,947276.0
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,205.26,97.72727272727272,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,212.79999999999998,113.63636363636363,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,202.71999999999997,95.45454545454545,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,207.79999999999998,111.36363636363636,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,205.26,112.72727272727272,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,192.55999999999997,90.9090909090909,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,187.48,90.9090909090909,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,210.33999999999997,103.63636363636363,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,210.33999999999997,124.99999999999999,Duke,4582680.0
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,182.39999999999998,79.54545454545453,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,197.64,93.18181818181817,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,202.71999999999997,93.63636363636363,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,35.0,PF,20.0,210.33999999999997,99.99999999999999,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,8.0,C,23.0,205.26,111.36363636363636,,2814000.0
Bruno Caboclo,Toronto Raptors,20.0,SF,20.0,205.26,93.18181818181817,,1524000.0
DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,202.71999999999997,96.36363636363636,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,200.17999999999998,99.99999999999999,USC,10050000.0
James Johnson,Toronto Raptors,3.0,PF,29.0,205.26,113.63636363636363,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,6.0,PG,24.0,190.01999999999998,86.36363636363636,Texas,7000000.0
Kyle Lowry,Toronto Raptors,7.0,PG,30.0,182.39999999999998,93.18181818181817,Villanova,12000000.0
Lucas Nogueira,Toronto Raptors,92.0,C,23.0,212.79999999999998,99.99999999999999,,1842000.0
Patrick Patterson,Toronto Raptors,54.0,PF,27.0,205.26,106.81818181818181,Kentucky,6268675.0
Norman Powell,Toronto Raptors,24.0,SG,23.0,192.55999999999997,97.72727272727272,UCLA,650000.0
Terrence Ross,Toronto Raptors,31.0,SF,25.0,200.17999999999998,88.63636363636363,Washington,3553917.0
Luis Scola,Toronto Raptors,4.0,PF,36.0,205.26,109.09090909090908,,2900000.0
Jason Thompson,Toronto Raptors,1.0,PF,29.0,210.33999999999997,113.63636363636363,Rider,245177.0
Jonas Valanciunas,Toronto Raptors,17.0,C,24.0,212.79999999999998,115.9090909090909,,4660482.0
Delon Wright,Toronto Raptors,55.0,PG,24.0,195.09999999999997,86.36363636363636,Utah,1509360.0
Leandro Barbosa,Golden State Warriors,19.0,SG,33.0,190.01999999999998,88.18181818181817,,2500000.0
Harrison Barnes,Golden State Warriors,40.0,SF,24.0,202.71999999999997,102.27272727272727,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,12.0,C,31.0,212.79999999999998,118.18181818181817,Utah,13800000.0
Ian Clark,Golden State Warriors,21.0,SG,25.0,190.01999999999998,79.54545454545453,Belmont,947276.0
Stephen Curry,Golden State Warriors,30.0,PG,28.0,190.01999999999998,86.36363636363636,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,31.0,C,26.0,210.33999999999997,120.45454545454544,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,23.0,PF,26.0,200.17999999999998,104.54545454545453,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,9.0,SF,32.0,197.64,97.72727272727272,Arizona,11710456.0
Shaun Livingston,Golden State Warriors,34.0,PG,30.0,200.17999999999998,87.27272727272727,,5543725.0
Kevon Looney,Golden State Warriors,36.0,SF,20.0,205.26,99.99999999999999,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,205.26,109.09090909090908,North Carolina,845059.0
Brandon Rush,Golden State Warriors,4.0,SF,30.0,197.64,99.99999999999999,Kansas,1270964.0
Marreese Speights,Golden State Warriors,5.0,C,28.0,207.79999999999998,115.9090909090909,Florida,3815000.0
Klay Thompson,Golden State Warriors,11.0,SG,26.0,200.17999999999998,97.72727272727272,Washington State,15501000.0
Anderson Varejao,Golden State Warriors,18.0,PF,33.0,210.33999999999997,124.09090909090908,,289755.0
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,210.33999999999997,113.63636363636363,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,205.26,113.63636363636363,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,195.09999999999997,88.63636363636363,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,197.64,102.27272727272727,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,205.26,106.81818181818181,Georgetown,9650000.0
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,207.79999999999998,114.09090909090908,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,200.17999999999998,97.72727272727272,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,210.33999999999997,120.45454545454544,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,202.71999999999997,104.54545454545453,UCLA,947276.0
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,182.39999999999998,79.54545454545453,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,200.17999999999998,106.81818181818181,Kansas,3376000.0
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0,190.01999999999998,84.09090909090908,,947726.0
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,192.55999999999997,86.36363636363636,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,192.55999999999997,90.9090909090909,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,195.09999999999997,88.63636363636363,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,202.71999999999997,113.63636363636363,LSU,3000000.0
Tarik Black,Los Angeles Lakers,28.0,C,24.0,205.26,113.63636363636363,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,200.17999999999998,95.45454545454545,Stanford,700000.0
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0,197.64,96.36363636363636,,25000000.0
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,195.09999999999997,88.18181818181817,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,217.88,122.72727272727272,Georgetown,15592217.0
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0,190.01999999999998,90.9090909090909,,525093.0
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,210.33999999999997,104.54545454545453,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,205.26,104.54545454545453,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,205.26,113.63636363636363,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,195.09999999999997,88.63636363636363,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,212.79999999999998,122.72727272727272,Gonzaga,981348.0
Louis Williams,Los Angeles Lakers,23.0,SG,29.0,184.93999999999997,79.54545454545453,,7000000.0
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,200.17999999999998,118.18181818181817,St. John's,947276.0
Nick Young,Los Angeles Lakers,0.0,SF,31.0,200.17999999999998,95.45454545454545,USC,5219169.0
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,184.93999999999997,86.36363636363636,Kentucky,13500000.0
Devin Booker,Phoenix Suns,1.0,SG,19.0,197.64,93.63636363636363,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,10.0,SF,28.0,200.17999999999998,94.99999999999999,Arizona,206192.0
Tyson Chandler,Phoenix Suns,4.0,C,33.0,215.33999999999997,109.09090909090908,,13000000.0
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,195.09999999999997,90.9090909090909,Kentucky,1160160.0
John Jenkins,Phoenix Suns,23.0,SG,25.0,192.55999999999997,97.72727272727272,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,3.0,PG,24.0,190.01999999999998,85.9090909090909,Kentucky,13500000.0
Alex Len,Phoenix Suns,21.0,C,22.0,215.33999999999997,118.18181818181817,Maryland,3807120.0
Jon Leuer,Phoenix Suns,30.0,PF,27.0,207.79999999999998,103.63636363636363,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,25.0,PG,25.0,179.94,79.54545454545453,Missouri,55722.0
Ronnie Price,Phoenix Suns,14.0,PG,32.0,187.48,86.36363636363636,Utah Valley,947276.0
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0,205.26,109.99999999999999,,5500000.0
P.J. Tucker,Phoenix Suns,17.0,SF,31.0,197.64,111.36363636363636,Texas,5500000.0
T.J. Warren,Phoenix Suns,12.0,SF,22.0,202.71999999999997,104.54545454545453,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,15.0,C,23.0,202.71999999999997,118.18181818181817,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,13.0,SF,25.0,200.17999999999998,109.09090909090908,Baylor,981348.0
James Anderson,Sacramento Kings,5.0,SG,27.0,197.64,96.81818181818181,Oklahoma State,1015421.0
Marco Belinelli,Sacramento Kings,3.0,SG,30.0,195.09999999999997,95.45454545454545,,6060606.0
Caron Butler,Sacramento Kings,31.0,SF,36.0,200.17999999999998,103.63636363636363,Connecticut,1449187.0
Omri Casspi,Sacramento Kings,18.0,SF,27.0,205.26,102.27272727272727,,2836186.0
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,212.79999999999998,109.09090909090908,Kentucky,3398280.0
Darren Collison,Sacramento Kings,7.0,PG,28.0,182.39999999999998,79.54545454545453,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,210.33999999999997,122.72727272727272,Kentucky,15851950.0
Seth Curry,Sacramento Kings,30.0,SG,25.0,187.48,84.09090909090908,Duke,947276.0
Duje Dukan,Sacramento Kings,26.0,PF,24.0,205.26,99.99999999999999,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,8.0,SF,29.0,202.71999999999997,104.54545454545453,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,41.0,C,27.0,212.79999999999998,120.45454545454544,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,23.0,SG,23.0,195.09999999999997,88.63636363636363,Kansas,3156600.0
Eric Moreland,Sacramento Kings,25.0,PF,24.0,207.79999999999998,108.18181818181817,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,184.93999999999997,84.54545454545453,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,205.26,113.63636363636363,New Mexico,845059.0
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,182.39999999999998,73.18181818181817,Oregon,2250000.0
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,200.17999999999998,99.99999999999999,Marquette,16407500.0
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,205.26,104.54545454545453,Duke,4500000.0
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0,207.79999999999998,124.99999999999999,,525093.0
Pau Gasol,Chicago Bulls,16.0,C,35.0,212.79999999999998,113.63636363636363,,7448760.0
Taj Gibson,Chicago Bulls,22.0,PF,30.0,205.26,102.27272727272727,USC,8500000.0
Justin Holiday,Chicago Bulls,7.0,SG,27.0,197.64,84.09090909090908,Washington,947276.0
Doug McDermott,Chicago Bulls,3.0,SF,24.0,202.71999999999997,102.27272727272727,Creighton,2380440.0
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0,207.79999999999998,99.99999999999999,,5543725.0
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,192.55999999999997,86.81818181818181,Purdue,1015421.0
Joakim Noah,Chicago Bulls,13.0,C,31.0,210.33999999999997,105.45454545454544,Florida,13400000.0
Bobby Portis,Chicago Bulls,5.0,PF,21.0,210.33999999999997,104.54545454545453,Arkansas,1391160.0
Derrick Rose,Chicago Bulls,1.0,PG,27.0,190.01999999999998,86.36363636363636,Memphis,20093064.0
Tony Snell,Chicago Bulls,20.0,SF,24.0,200.17999999999998,90.9090909090909,New Mexico,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,192.55999999999997,89.99999999999999,Saint Mary's,1147276.0
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,210.33999999999997,115.9090909090909,Arizona,8193029.0
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,190.01999999999998,87.72727272727272,Duke,16407501.0
LeBron James,Cleveland Cavaliers,23.0,SF,31.0,202.71999999999997,113.63636363636363,,22970500.0
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,200.17999999999998,105.9090909090909,Arizona,947276.0
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0,197.64,102.27272727272727,Duke,
James Jones,Cleveland Cavaliers,1.0,SG,35.0,202.71999999999997,99.09090909090908,Miami (FL),947276.0
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,210.33999999999997,118.18181818181817,Kansas,1276000.0
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,207.79999999999998,114.09090909090908,UCLA,19689000.0
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,195.09999999999997,81.36363636363636,Tennessee,111196.0
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0,215.33999999999997,124.99999999999999,,4950000.0
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,195.09999999999997,99.99999999999999,Georgia Tech,8988765.0
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0,197.64,102.27272727272727,,5000000.0
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,205.26,108.18181818181817,Texas,14260870.0
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,184.93999999999997,89.99999999999999,Alabama,2100000.0
Joel Anthony,Detroit Pistons,50.0,C,33.0,205.26,111.36363636363636,UNLV,2500000.0
Aron Baynes,Detroit Pistons,12.0,C,29.0,207.79999999999998,118.18181818181817,Washington State,6500000.0
Steve Blake,Detroit Pistons,22.0,PG,36.0,190.01999999999998,78.18181818181817,Maryland,2170465.0
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,195.09999999999997,85.9090909090909,North Carolina State,111444.0
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,200.17999999999998,93.18181818181817,North Carolina,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,195.09999999999997,93.18181818181817,Georgia,2891760.0
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,197.64,90.9090909090909,Colorado,845059.0
Andre Drummond,Detroit Pistons,0.0,C,22.0,210.33999999999997,126.81818181818181,Connecticut,3272091.0
Tobias Harris,Detroit Pistons,34.0,SF,23.0,205.26,106.81818181818181,Tennessee,16000000.0
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,197.64,93.18181818181817,Villanova,600000.0
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,190.01999999999998,94.54545454545453,Boston College,13913044.0
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,200.17999999999998,111.36363636363636,Arizona,2841960.0
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,192.55999999999997,95.45454545454545,Kentucky,6270000.0
Marcus Morris,Detroit Pistons,13.0,PF,26.0,205.26,106.81818181818181,Kansas,5000000.0
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,202.71999999999997,109.09090909090908,Creighton,3000000.0
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,205.26,115.9090909090909,Temple,4050000.0
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,205.26,113.63636363636363,Syracuse,1007026.0
Monta Ellis,Indiana Pacers,11.0,SG,30.0,190.01999999999998,84.09090909090908,,10300000.0
Paul George,Indiana Pacers,13.0,SF,26.0,205.26,99.99999999999999,Fresno State,17120106.0
George Hill,Indiana Pacers,3.0,PG,30.0,190.01999999999998,85.45454545454545,IUPUI,8000000.0
Jordan Hill,Indiana Pacers,27.0,C,28.0,207.79999999999998,106.81818181818181,Arizona,4000000.0
Solomon Hill,Indiana Pacers,44.0,SF,25.0,200.17999999999998,102.27272727272727,Arizona,1358880.0
Ty Lawson,Indiana Pacers,10.0,PG,28.0,179.94,88.63636363636363,North Carolina,211744.0
Ian Mahinmi,Indiana Pacers,28.0,C,29.0,210.33999999999997,113.63636363636363,,4000000.0
C.J. Miles,Indiana Pacers,0.0,SF,29.0,197.64,104.99999999999999,,4394225.0
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,200.17999999999998,100.9090909090909,Michigan,1100000.0
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,195.09999999999997,93.18181818181817,Eastern Washington,7000000.0
Myles Turner,Indiana Pacers,33.0,PF,20.0,210.33999999999997,110.45454545454544,Texas,2357760.0
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,210.33999999999997,113.63636363636363,Western Michigan,845059.0
Joe Young,Indiana Pacers,1.0,PG,23.0,187.48,81.81818181818181,Oregon,1007026.0
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0,210.33999999999997,100.9090909090909,,1953960.0
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,190.01999999999998,90.9090909090909,Arizona,3000000.0
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,197.64,86.36363636363636,Syracuse,2399040.0
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,192.55999999999997,88.63636363636363,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,190.01999999999998,88.18181818181817,Syracuse,1662360.0
John Henson,Milwaukee Bucks,31.0,PF,25.0,210.33999999999997,104.09090909090908,North Carolina,2943221.0
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0,202.71999999999997,111.81818181818181,,855000.0
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,195.09999999999997,95.45454545454545,USC,8000000.0
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,202.71999999999997,106.36363636363636,Texas A&M,14700000.0
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,210.33999999999997,120.45454545454544,Georgetown,16407500.0
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,207.79999999999998,102.27272727272727,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,205.26,116.81818181818181,LSU,845059.0
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,202.71999999999997,113.63636363636363,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,210.33999999999997,113.18181818181817,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,197.64,98.63636363636363,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,197.64,91.81818181818181,UNLV,1733040.0
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,197.64,103.63636363636363,Virginia,1449000.0
